,today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time,Unnamed: 0
0,2021-08-10,B77W,Boeing 777-322(ER),PGUA,1.0,GUM,2021-08-10 23:35:00,0.0,0,0,
1,2021-08-10,B77W,Boeing 777-300(ER),PGUA,1.0,GUM,2021-08-10 09:20:00,0.0,0,0,
2,2021-08-10,B77W,Boeing 777-300(ER),PGUA,0.0,0,0,1.0,TCM,2021-08-10 12:15:00,
3,2021-08-10,B753,Boeing 757-3E7,BIKF,1.0,TFS,2021-08-11 21:07:12,0.0,0,0,
4,2021-08-10,A21N,Airbus A321-271NX,BIKF,1.0,FCO,2021-08-11 20:32:27,0.0,0,0,
5,2021-08-10,B38M,Boeing 737 MAX 8,BIKF,1.0,CPH,2021-08-10 23:50:00,0.0,0,0,
6,2021-08-10,A21N,Airbus A321-271NX,BIKF,1.0,WAW,2021-08-10 23:20:00,0.0,0,0,
7,2021-08-10,A21N,Airbus A321-251N,BIKF,1.0,TFS,2021-08-10 22:40:00,0.0,0,0,
8,2021-08-10,321,,BIKF,1.0,LTN,2021-08-10 21:10:00,0.0,0,0,
9,2021-08-10,A21N,Airbus A321-251N,BIKF,1.0,ALC,2021-08-10 20:30:56,0.0,0,0,
10,2021-08-10,B738,Boeing 737-86N,BIKF,1.0,TFS,2021-08-10 20:30:00,0.0,0,0,
11,2021-08-10,A320,Airbus A320-232,BIKF,1.0,GDN,2021-08-10 20:10:00,0.0,0,0,
12,2021-08-10,737,,BIKF,1.0,AGP,2021-08-10 18:50:00,0.0,0,0,
13,2021-08-10,A21N,Airbus A321-271NX,BIKF,1.0,MXP,2021-08-10 18:35:00,0.0,0,0,
14,2021-08-10,A320,Airbus A320-232,BIKF,1.0,WRO,2021-08-10 18:05:00,0.0,0,0,
15,2021-08-10,A21N,Airbus A321-271NX,BIKF,1.0,VIE,2021-08-10 17:10:00,0.0,0,0,
16,2021-08-10,A320,Airbus A320-232,BIKF,1.0,BUD,2021-08-10 16:20:00,0.0,0,0,
17,2021-08-10,B753,Boeing 757-308,BIKF,1.0,MUC,2021-08-10 16:00:00,0.0,0,0,
