today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time
2021-07-12,B744,Boeing 747-428(BCF),PGUA,1,MUO,2021-07-12 22:33:00,0,0,0
2021-07-12,B744,Boeing 747-412(BCF),PGUA,1,EDF,2021-07-12 19:20:00,0,0,0
2021-07-12,B744,Boeing 747-412(BCF),PGUA,1,EDF,2021-07-14 03:36:48,0,0,0
2021-07-12,B744,,PGUA,0,0,0,1,DNA,2021-07-13 20:05:00
2021-07-12,B744,,PGUA,0,0,0,1,OKO,2021-07-12 19:00:00
2021-07-12,A21N,Airbus A321-251N,BIKF,1,BER,2021-07-12 23:55:00,0,0,0
2021-07-12,B38M,Boeing 737 MAX 8,BIKF,1,CPH,2021-07-12 23:50:00,0,0,0
2021-07-12,A20N,Airbus A320-271N,BIKF,1,FRA,2021-07-12 23:30:00,0,0,0
2021-07-12,B39M,Boeing 737 MAX 9,BIKF,1,BLL,2021-07-12 23:30:00,0,0,0
2021-07-12,B38M,Boeing 737 MAX 8,BIKF,1,BOS,2021-07-12 20:50:00,0,0,0
2021-07-12,A21N,Airbus A321-271NX,BIKF,1,KTW,2021-07-12 19:20:00,0,0,0
2021-07-12,320,,BIKF,1,WRO,2021-07-12 18:05:00,0,0,0
2021-07-12,A320,Airbus A320-214,BIKF,1,BCN,2021-07-12 16:25:00,0,0,0
2021-07-12,B38M,Boeing 737 MAX 8,BIKF,1,GVA,2021-07-12 15:55:00,0,0,0
2021-07-12,B39M,Boeing 737 MAX 9,BIKF,1,ZRH,2021-07-12 15:55:00,0,0,0
2021-07-12,B38M,Boeing 737 MAX 8,BIKF,1,BER,2021-07-12 15:50:00,0,0,0
2021-07-12,B752,Boeing 757-208,BIKF,1,FRA,2021-07-12 15:40:00,0,0,0
2021-07-12,B752,Boeing 757-256,BIKF,1,CDG,2021-07-12 15:40:00,0,0,0
2021-07-12,B752,Boeing 757-256,BIKF,1,CPH,2021-07-12 15:40:00,0,0,0
2021-07-12,B763,Boeing 767-319(ER),BIKF,1,AMS,2021-07-12 15:25:00,0,0,0
2021-07-12,B752,Boeing 757-208,BIKF,1,CPH,2021-07-12 15:25:00,0,0,0
2021-07-12,B763,Boeing 767-319(ER),BIKF,1,LHR,2021-07-12 15:20:00,0,0,0
2021-07-12,B38M,Boeing 737 MAX 8,BIKF,1,BRU,2021-07-12 15:15:00,0,0,0
2021-07-12,B752,Boeing 757-256,BIKF,1,ARN,2021-07-12 15:10:00,0,0,0
2021-07-12,BCS3,Airbus A220-300,BIKF,1,RIX,2021-07-12 14:25:00,0,0,0
2021-07-12,A21N,Airbus A321-251N,BIKF,1,STN,2021-07-12 13:50:00,0,0,0
2021-07-12,738,,BIKF,1,OSL,2021-07-12 10:30:00,0,0,0
2021-07-12,A20N,Airbus A320-251N,BIKF,1,CPH,2021-07-12 09:45:00,0,0,0
2021-07-12,A20N,Airbus A320-251N,BIKF,1,FAE,2021-07-12 09:35:00,0,0,0
2021-07-12,A21N,Airbus A321-251N,BIKF,1,TFS,2021-07-13 21:08:27,0,0,0
2021-07-12,321,,BIKF,1,WAW,2021-07-13 23:10:56,0,0,0
2021-07-12,B38M,Boeing 737 MAX 8,BIKF,1,LHR,2021-07-13 23:00:16,0,0,0
2021-07-12,32Q,,BIKF,0,0,0,1,TFS,2021-07-13 10:03:00
2021-07-12,32Q,,BIKF,0,0,0,1,ALC,2021-07-13 10:07:00
2021-07-12,A21N,Airbus A321-271NX,BIKF,0,0,0,1,KTW,2021-07-12 20:00:00
2021-07-12,320,,BIKF,0,0,0,1,WRO,2021-07-12 18:50:00
2021-07-12,B763,Boeing 767-319(ER),BIKF,0,0,0,1,BOS,2021-07-12 17:15:00
2021-07-12,A320,Airbus A320-214,BIKF,0,0,0,1,BCN,2021-07-12 17:10:00
2021-07-12,B752,Boeing 757-256,BIKF,0,0,0,1,SEA,2021-07-12 17:05:00
