today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time
2021-08-26,B744,Boeing 747-4B5F,PGUA,1,HNL,2021-08-26 14:24:00,0,0,0
2021-08-26,B762,,PGUA,0,0,0,1,ANC,2021-08-26 23:30:00
2021-08-26,B744,Boeing 747-4B5F,PGUA,0,0,0,1,OKO,2021-08-26 17:40:00
2021-08-26,B744,Boeing 747-446(BCF),PGUA,0,0,0,1,OKO,2021-08-26 17:00:00
2021-08-26,B735,Boeing 737-5L9,KDMA,0,0,0,1,OMA,2021-08-26 16:00:00
2021-08-26,B744,Boeing 747-45E(BDSF),DNA,1,EDF,2021-08-26 20:51:00,0,0,0
2021-08-26,CJL,,DNA,0,0,0,1,STS,2021-08-26 16:42:00
2021-08-26,CNJ,,DNA,0,0,0,1,GCN,2021-08-26 16:36:00
2021-08-26,A20N,Airbus A320-271N,BIKF,1,FCO,2021-08-27 20:56:32,0,0,0
2021-08-26,A21N,Airbus A321-251N,BIKF,1,BER,2021-08-26 23:55:00,0,0,0
2021-08-26,B752,Boeing 757-256,BIKF,1,CPH,2021-08-26 23:50:00,0,0,0
2021-08-26,B752,Boeing 757-256,BIKF,1,LHR,2021-08-26 23:40:00,0,0,0
2021-08-26,A320,Airbus A320-232,BIKF,1,WAW,2021-08-26 23:20:00,0,0,0
2021-08-26,A319,Airbus A319-132,BIKF,1,DUS,2021-08-26 22:50:00,0,0,0
2021-08-26,321,,BIKF,1,LTN,2021-08-26 21:10:00,0,0,0
2021-08-26,B38M,Boeing 737 MAX 8,BIKF,1,BOS,2021-08-26 20:50:00,0,0,0
2021-08-26,A321,Airbus A321-231,BIKF,1,GDN,2021-08-26 19:20:00,0,0,0
2021-08-26,B738,Boeing 737-86N,BIKF,1,ALC,2021-08-26 18:40:00,0,0,0
2021-08-26,A21N,Airbus A321-271NX,BIKF,1,MXP,2021-08-26 18:35:00,0,0,0
2021-08-26,A320,Airbus A320-232,BIKF,1,RIX,2021-08-26 18:10:00,0,0,0
2021-08-26,A320,Airbus A320-214,BIKF,1,BCN,2021-08-26 16:25:00,0,0,0
2021-08-26,B752,Boeing 757-208,BIKF,1,MUC,2021-08-26 16:00:00,0,0,0
2021-08-26,B38M,Boeing 737 MAX 8,BIKF,1,ZRH,2021-08-26 15:55:00,0,0,0
2021-08-26,B752,Boeing 757-256,BIKF,1,BER,2021-08-26 15:50:00,0,0,0
2021-08-26,B38M,Boeing 737 MAX 8,BIKF,1,HEL,2021-08-26 15:45:00,0,0,0
2021-08-26,B753,Boeing 757-308,BIKF,1,CDG,2021-08-26 15:40:00,0,0,0
2021-08-26,B752,Boeing 757-208,BIKF,1,CDG,2021-08-26 15:40:00,0,0,0
2021-08-26,B763,Boeing 767-319(ER),BIKF,1,FRA,2021-08-26 15:40:00,0,0,0
2021-08-26,7M8,,BIKF,1,CPH,2021-08-26 15:40:00,0,0,0
2021-08-26,B38M,Boeing 737 MAX 8,BIKF,1,AMS,2021-08-26 15:30:00,0,0,0
2021-08-26,B752,Boeing 757-256,BIKF,1,AMS,2021-08-26 15:25:00,0,0,0
2021-08-26,B763,Boeing 767-319(ER),BIKF,1,CPH,2021-08-26 15:25:00,0,0,0
2021-08-26,B763,Boeing 767-319(ER),BIKF,1,LHR,2021-08-26 15:20:00,0,0,0
2021-08-26,B39M,Boeing 737 MAX 9,BIKF,1,BRU,2021-08-26 15:15:00,0,0,0
2021-08-26,B752,Boeing 757-256,BIKF,1,ARN,2021-08-26 15:10:00,0,0,0
2021-08-26,B38M,Boeing 737 MAX 8,BIKF,1,OSL,2021-08-26 14:45:00,0,0,0
2021-08-26,A320,Airbus A320-214,BIKF,1,EDI,2021-08-26 14:25:00,0,0,0
2021-08-26,A21N,Airbus A321-251N,BIKF,1,CPH,2021-08-26 14:10:00,0,0,0
2021-08-26,A21N,Airbus A321-251N,BIKF,1,CDG,2021-08-26 14:05:00,0,0,0
2021-08-26,B753,Boeing 757-3E7,BIKF,1,DUB,2021-08-26 14:00:00,0,0,0
2021-08-26,A21N,Airbus A321-251N,BIKF,1,STN,2021-08-26 13:50:00,0,0,0
2021-08-26,A319,Airbus A319-132,BIKF,1,HAM,2021-08-26 13:25:00,0,0,0
2021-08-26,A321,Airbus A321-231,BIKF,1,FRA,2021-08-26 12:10:00,0,0,0
2021-08-26,32N,,BIKF,1,OSL,2021-08-26 11:05:00,0,0,0
2021-08-26,A20N,Airbus A320-251N,BIKF,1,LHR,2021-08-26 09:50:00,0,0,0
2021-08-26,A20N,Airbus A320-251N,BIKF,1,CPH,2021-08-26 09:45:00,0,0,0
2021-08-26,A21N,Airbus A321-251N,BIKF,1,CPH,2021-08-27 22:27:35,0,0,0
2021-08-26,A20N,Airbus A320-271N,BIKF,1,FRA,2021-08-27 23:23:44,0,0,0
2021-08-26,None,None,BIKF,1,HOU,2021-08-28 01:41:08,0,0,0
2021-08-26,32N,,BIKF,0,0,0,1,FCO,2021-08-27 21:30:00
2021-08-26,32Q,,BIKF,0,0,0,1,CPH,2021-08-27 15:06:00
2021-08-26,32Q,,BIKF,0,0,0,1,BCN,2021-08-27 15:07:00
2021-08-26,32Q,,BIKF,0,0,0,1,STN,2021-08-27 06:26:00
2021-08-26,A21N,Airbus A321-251N,BIKF,0,0,0,1,BER,2021-08-27 05:54:00
2021-08-26,32Q,,BIKF,0,0,0,1,CDG,2021-08-27 05:52:00
2021-08-26,321,,BIKF,0,0,0,1,LTN,2021-08-26 21:55:00
2021-08-26,A321,Airbus A321-231,BIKF,0,0,0,1,GDN,2021-08-26 20:00:00
2021-08-26,A21N,Airbus A321-271NX,BIKF,0,0,0,1,MXP,2021-08-26 19:20:00
2021-08-26,A320,Airbus A320-232,BIKF,0,0,0,1,RIX,2021-08-26 18:50:00
2021-08-26,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,SEA,2021-08-26 17:50:00
2021-08-26,B763,Boeing 767-319(ER),BIKF,0,0,0,1,BOS,2021-08-26 17:15:00
2021-08-26,A320,Airbus A320-214,BIKF,0,0,0,1,BCN,2021-08-26 17:10:00
2021-08-26,B752,Boeing 757-256,BIKF,0,0,0,1,SEA,2021-08-26 17:05:00
2021-08-26,B39M,Boeing 737 MAX 9,BIKF,0,0,0,1,YYZ,2021-08-26 17:05:00
2021-08-26,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,EWR,2021-08-26 17:00:00
2021-08-26,B763,Boeing 767-319(ER),BIKF,0,0,0,1,JFK,2021-08-26 17:00:00
2021-08-26,B752,Boeing 757-256,BIKF,0,0,0,1,DEN,2021-08-26 16:55:00
2021-08-26,B752,Boeing 757-208,BIKF,0,0,0,1,PDX,2021-08-26 16:50:00
2021-08-26,B763,Boeing 767-319(ER),BIKF,0,0,0,1,IAD,2021-08-26 16:50:00
2021-08-26,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,ORD,2021-08-26 16:45:00
2021-08-26,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,MSP,2021-08-26 16:45:00
2021-08-26,B753,Boeing 757-308,BIKF,0,0,0,1,MAD,2021-08-26 16:45:00
2021-08-26,73F,,BIKF,0,0,0,1,DUB,2021-08-26 16:30:00
2021-08-26,B752,Boeing 757-256,BIKF,0,0,0,1,LHR,2021-08-26 16:10:00
2021-08-26,B752,Boeing 757-256,BIKF,0,0,0,1,CPH,2021-08-26 16:10:00
2021-08-26,A21N,Airbus A321-251N,BIKF,0,0,0,1,BER,2021-08-26 15:15:00
2021-08-26,A320,Airbus A320-214,BIKF,0,0,0,1,EDI,2021-08-26 15:05:00
2021-08-26,A319,Airbus A319-132,BIKF,0,0,0,1,HAM,2021-08-26 14:20:00
2021-08-26,A321,Airbus A321-231,BIKF,0,0,0,1,FRA,2021-08-26 13:35:00
2021-08-26,32N,,BIKF,0,0,0,1,OSL,2021-08-26 11:45:00
2021-08-26,B752,Boeing 757-224,BIKF,0,0,0,1,EWR,2021-08-26 11:20:00
2021-08-26,B763,Boeing 767-332(ER),BIKF,0,0,0,1,JFK,2021-08-26 11:15:00
2021-08-26,A20N,Airbus A320-251N,BIKF,0,0,0,1,LHR,2021-08-26 10:40:00
2021-08-26,B752,Boeing 757-224,BIKF,0,0,0,1,ORD,2021-08-26 10:30:00
2021-08-26,A20N,Airbus A320-251N,BIKF,0,0,0,1,CPH,2021-08-26 10:30:00
2021-08-26,B752,Boeing 757-26D,BIKF,0,0,0,1,BOS,2021-08-26 10:05:00
2021-08-26,B752,Boeing 757-26D,BIKF,0,0,0,1,MSP,2021-08-26 09:30:00
2021-08-26,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,BOS,2021-08-26 09:20:00
2021-08-26,A20N,Airbus A320-251N,BIKF,0,0,0,1,MAN,2021-08-26 09:00:00
2021-08-26,B738,Boeing 737-8JP,BIKF,0,0,0,1,OSL,2021-08-26 08:35:00
2021-08-26,320,,BIKF,0,0,0,1,KTW,2021-08-27 20:45:00
2021-08-26,B752,Boeing 757-208,BIKF,0,0,0,1,BOS,2021-08-28 09:30:00
2021-08-26,B752,Boeing 757-26D,BIKF,0,0,0,1,MSP,2021-08-28 09:40:00
2021-08-26,B752,Boeing 757-26D,BIKF,0,0,0,1,BOS,2021-08-28 10:15:00
2021-08-26,B752,Boeing 757-224,BIKF,0,0,0,1,ORD,2021-08-28 10:49:00
2021-08-26,B763,Boeing 767-332(ER),BIKF,0,0,0,1,JFK,2021-08-28 11:25:00
2021-08-26,B752,Boeing 757-224,BIKF,0,0,0,1,EWR,2021-08-28 11:39:00
2021-08-26,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,MSP,2021-08-28 16:55:00
2021-08-26,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,ORD,2021-08-28 16:55:00
2021-08-26,B763,Boeing 767-319(ER),BIKF,0,0,0,1,IAD,2021-08-28 17:00:00
2021-08-26,B752,Boeing 757-256,BIKF,0,0,0,1,PDX,2021-08-28 17:00:00
2021-08-26,B752,Boeing 757-208,BIKF,0,0,0,1,DEN,2021-08-28 17:05:00
2021-08-26,B763,Boeing 767-319(ER),BIKF,0,0,0,1,JFK,2021-08-28 17:10:00
